oui,wifiChipManufacturer,estimatedDeviceCategory
E043DB,"Shenzhen ViewAt Technology Co.,Ltd. ",Non-mobile device
2405F5,Integrated Device Technology (Malaysia) Sdn. Bhd.,Non-mobile device
3CD92B,Hewlett Packard,Non-mobile device
9C8E99,Hewlett Packard,Non-mobile device
B499BA,Hewlett Packard,Non-mobile device
1CC1DE,Hewlett Packard,Non-mobile device
3C3556,Cognitec Systems GmbH,Non-mobile device
0050BA,D-Link Corporation,Non-mobile device
00179A,D-Link Corporation,Non-mobile device
1CBDB9,D-Link International,Non-mobile device
9094E4,D-Link International,Non-mobile device
28107B,D-Link International,Non-mobile device
1C7EE5,D-Link International,Non-mobile device
C4A81D,D-Link International,Non-mobile device
18622C,Sagemcom Broadband SAS,Non-mobile device
7C03D8,Sagemcom Broadband SAS,Non-mobile device
E8F1B0,Sagemcom Broadband SAS,Non-mobile device
00F871,DGS Denmark A/S,Non-mobile device
20BB76,COL GIOVANNI PAOLO SpA,Non-mobile device
2C228B,CTR SRL,Non-mobile device
348AAE,Sagemcom Broadband SAS,Non-mobile device
BCEC23,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",Non-mobile device
AC06C7,ServerNet S.r.l.,Non-mobile device
CC46D6,"Cisco Systems, Inc",Non-mobile device
48AD08,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
2CAB00,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
00E0FC,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
24DF6A,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
009ACD,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
38F23E,Microsoft Mobile Oy,Mobile phone
58AC78,"Cisco Systems, Inc",Non-mobile device
907F61,"Chicony Electronics Co., Ltd.",Non-mobile device
28BC18,SourcingOverseas Co. Ltd,Non-mobile device
807ABF,HTC Corporation,Mobile phone
409F87,Jide Technology (Hong Kong) Limited,Non-mobile device
3C5AB4,"Google, Inc.",Mobile phone
001A11,"Google, Inc.",Mobile phone
D83C69,Shenzhen TINNO Mobile Technology Corp.,Mobile phone
74AC5F,"Qiku Internet Network Scientific (Shenzhen) Co., Ltd.",Non-mobile device
BC83A7,"SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD",Non-mobile device
000347,Intel Corporation,Non-mobile device
001175,Intel Corporation,Non-mobile device
0013E8,Intel Corporate,Non-mobile device
001302,Intel Corporate,Non-mobile device
E4F89C,Intel Corporate,Non-mobile device
A402B9,Intel Corporate,Non-mobile device
4C3488,Intel Corporate,Non-mobile device
000D0B,BUFFALO.INC,Non-mobile device
000740,BUFFALO.INC,Non-mobile device
0024A5,BUFFALO.INC,Non-mobile device
DCFB02,BUFFALO.INC,Non-mobile device
F4CE46,Hewlett Packard,Non-mobile device
001CC4,Hewlett Packard,Non-mobile device
0025B3,Hewlett Packard,Non-mobile device
001871,Hewlett Packard,Non-mobile device
000BCD,Hewlett Packard,Non-mobile device
000E7F,Hewlett Packard,Non-mobile device
000F20,Hewlett Packard,Non-mobile device
00110A,Hewlett Packard,Non-mobile device
001321,Hewlett Packard,Non-mobile device
001635,Hewlett Packard,Non-mobile device
0017A4,Hewlett Packard,Non-mobile device
000802,Hewlett Packard,Non-mobile device
90E7C4,HTC Corporation,Mobile phone
74A78E,zte corporation,Mobile phone
D860B0,bioM̩rieux Italia S.p.A.,Non-mobile device
8038BC,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
D440F0,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
64A651,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
E8CD2D,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
ACE215,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
EC233D,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
78F5FD,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
80B686,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
10C61F,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
8853D4,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
0C37DC,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
BC7670,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
24DBAC,"HUAWEI TECHNOLOGIES CO.,LTD",Mobile phone
0021E8,"Murata Manufacturing Co., Ltd.",Non-mobile device
006057,"Murata Manufacturing Co., Ltd.",Non-mobile device
0007D8,Hitron Technologies. Inc,Non-mobile device
84742A,zte corporation,Mobile phone
681AB2,zte corporation,Mobile phone
E005C5,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
A0F3C1,"TP-LINK TECHNOLOGIES CO.,LTD.",Non-mobile device
