oui,wifiChipManufacturer,estimatedDeviceCategory
3CD92B,Hewlett Packard,Laptop / PC
9C8E99,Hewlett Packard,Laptop / PC
B499BA,Hewlett Packard,Laptop / PC
1CC1DE,Hewlett Packard,Laptop / PC
